nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 07:50:00",860,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 07:50:00",1440,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 07:50:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 07:50:00",1070,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 07:50:00",390,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 07:00:00",500,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 07:50:00",1770,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 07:50:00",1700,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 07:50:00",1850,"Status : Siaga 3"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 07:50:00",1650,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 08:20:00",220,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 08:20:00",580,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 08:20:00",1670,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 08:00:00",6700,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 08:20:00",260,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 08:20:00",4310,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 08:20:00",1650,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 08:20:00",1930,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 08:20:00",-1690,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 08:20:00",850,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 08:20:00",1440,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 08:20:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 08:20:00",1010,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 08:10:00",390,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 08:00:00",1500,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 08:20:00",1750,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 08:20:00",1690,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 08:20:00",1900,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 08:20:00",1620,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 08:50:00",250,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 08:50:00",570,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 08:50:00",1700,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 08:00:00",6700,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 08:50:00",250,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 08:50:00",4230,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 08:50:00",1670,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 08:50:00",1850,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 08:50:00",-1670,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 08:50:00",920,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 08:50:00",1440,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 08:50:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 08:50:00",990,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 08:50:00",1170,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 08:00:00",1500,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 08:50:00",1730,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 08:50:00",1690,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 08:50:00",1870,"Status : Siaga 3"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 08:50:00",1600,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 09:20:00",230,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 09:20:00",560,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 09:20:00",1710,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 09:00:02",6550,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 09:20:00",230,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 09:20:00",4140,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 09:20:00",1690,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 09:20:00",1860,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 09:20:00",-1650,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 09:20:00",940,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 09:20:00",1420,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 09:20:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 09:20:00",950,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 09:20:00",1140,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 09:20:00",1960,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 09:20:00",1730,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 09:20:00",1680,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 09:20:00",1880,"Status : Siaga 3"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 09:20:00",1630,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 09:50:00",220,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 09:50:00",560,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 09:50:00",1700,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 09:00:02",6550,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 09:50:00",220,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 09:50:00",4030,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 09:50:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 09:50:00",1870,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 09:50:00",-1640,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 09:50:00",950,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 09:50:00",1400,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 09:50:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 09:50:00",900,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 09:50:00",1130,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 09:50:00",1950,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 09:50:00",1680,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 09:50:00",1680,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 09:50:00",1900,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 09:50:00",1570,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 10:20:00",220,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 10:20:00",560,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 10:20:00",1670,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 10:00:00",6500,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 10:20:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 10:20:00",3940,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 10:20:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 10:20:00",2050,"Status : Siaga 2"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 10:20:00",-1630,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 10:20:00",1000,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 10:20:00",1370,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 10:20:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 10:20:00",870,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 10:20:00",1100,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 10:20:00",1930,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 10:20:00",1690,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 10:20:00",1680,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 10:20:00",1980,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 10:20:00",1550,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 10:50:00",230,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 10:50:00",550,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 10:50:00",1650,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 10:00:00",6500,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 10:50:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 10:50:00",3870,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 10:50:00",1740,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 10:50:00",1960,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 10:50:00",-1610,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 10:50:00",980,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 10:50:00",1330,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 10:50:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 10:50:00",860,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 10:50:00",1090,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 10:50:00",1910,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 10:50:00",1710,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 10:50:00",1700,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 10:40:00",1950,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 10:50:00",1610,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 11:20:00",210,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 11:20:00",540,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 11:20:00",1610,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 11:00:00",6400,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 11:20:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 11:20:00",3800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 11:20:00",1830,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 11:20:00",1930,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 11:20:00",-1610,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 11:20:00",980,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 11:20:00",1310,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 11:20:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 11:20:00",850,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 11:20:00",1080,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 11:20:00",1900,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 11:20:00",1690,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 11:20:00",1700,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 11:20:00",1950,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 11:20:00",1570,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 11:50:00",220,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 11:50:00",530,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 11:50:00",1590,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 11:00:00",6400,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 11:50:00",200,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 11:50:00",3720,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 11:50:00",1980,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 11:50:00",2040,"Status : Siaga 2"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 11:50:00",-1600,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 11:50:00",980,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 11:50:00",1270,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 11:50:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 11:50:00",810,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 11:50:00",1060,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 11:50:00",1890,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 11:50:00",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 11:40:00",1700,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 11:50:00",1960,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 11:50:00",1570,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 12:20:00",210,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 12:20:00",520,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 12:20:00",1560,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 12:00:00",6300,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 12:20:00",200,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 12:20:00",3660,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 12:20:00",2000,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 12:20:00",1930,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 12:20:00",-1600,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 12:20:00",980,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 12:20:00",1230,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 12:20:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 12:20:00",820,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 12:20:00",390,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 12:20:00",1870,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 12:20:00",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 12:20:00",1710,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 12:20:00",1970,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 12:20:00",1570,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 12:50:00",340,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 12:50:00",470,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 12:50:00",1550,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 12:00:00",6300,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 12:50:00",190,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-12-07 12:50:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 12:50:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 12:50:00",2020,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 12:50:00",2050,"Status : Siaga 2"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 12:50:00",-1590,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 12:50:00",970,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 12:50:00",1190,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 12:50:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 12:50:00",800,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 12:50:00",1030,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 12:50:00",1860,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 12:50:00",1680,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 12:50:00",1690,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 12:50:00",1970,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 12:50:00",1580,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 13:20:00",390,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 13:20:00",510,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 13:20:00",1540,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 13:00:00",6250,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 13:20:00",250,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-12-07 13:20:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 13:20:00",3590,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 13:20:00",2000,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-07 13:20:00",1910,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-07 13:20:00",-1590,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-07 13:20:00",870,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-12-07 13:20:00",1140,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-07 13:20:00",1000,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-07 05:40:00",3400,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-07 13:20:00",790,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-07 13:20:00",1030,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-12-07 13:20:00",1850,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-07 13:20:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-07 13:20:00",1690,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-07 13:20:00",1970,"Status : Siaga 2"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-07 13:20:00",1590,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-07 13:50:00",360,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-07 13:50:00",510,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-07 13:50:00",1530,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-12-07 13:00:00",6250,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-07 13:50:00",480,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-12-07 13:50:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-07 13:50:00",3550,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-07 13:50:00",2020,"Status : Siaga 2"
